run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,curvature,gat_hidden_dim,graph_metric,hyperbolic_readout,jk_mode,learnable_curvature,lr,num_layers,proj_dim,readout_clip,readout_scale,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|bert-base-uncased|cola_wide|B|t0|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,0,42,mcc,curvature=4.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.001;num_layers=4;proj_dim=256;readout_clip=0.0;readout_scale=0;scorer_hidden=256;tau_quantile=0.1;weight_decay=0.0,4.0,64,cosine,1,cat,0,0.001,4,256,0.0,0,256,0.1,0.0,42.49,142.69,0.20863,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t1|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,1,42,mcc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=2e-05;num_layers=2;proj_dim=128;readout_clip=0.7;readout_scale=0;scorer_hidden=128;tau_quantile=0.05;weight_decay=0.0,4.0,128,cosine,1,max,0,2e-05,2,128,0.7,0,128,0.05,0.0,0.0,137.07,0.15601,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t2|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,2,42,mcc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=2e-05;num_layers=2;proj_dim=256;readout_clip=0.3;readout_scale=0;scorer_hidden=256;tau_quantile=0.38;weight_decay=1e-05,4.0,128,cosine,1,max,0,2e-05,2,256,0.3,0,256,0.38,1e-05,0.0,138.16,0.48175,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t3|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,3,42,mcc,curvature=1.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=2e-05;num_layers=2;proj_dim=256;readout_clip=0.3;readout_scale=1;scorer_hidden=256;tau_quantile=0.38;weight_decay=5e-05,1.0,64,cosine,1,cat,0,2e-05,2,256,0.3,1,256,0.38,5e-05,4.98,139.36,0.4846,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t4|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,4,42,mcc,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.001;num_layers=2;proj_dim=256;readout_clip=1.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,1.0,256,cosine,1,max,1,0.001,2,256,1.0,1,128,0.38,5e-05,45.81,139.79,0.48358,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t5|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,5,42,mcc,curvature=4.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=2;proj_dim=128;readout_clip=0.3;readout_scale=0;scorer_hidden=256;tau_quantile=0.2;weight_decay=5e-05,4.0,64,cosine,1,cat,0,0.0002,2,128,0.3,0,256,0.2,5e-05,0.0,138.82,0.30454,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t6|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,6,42,mcc,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.001;num_layers=4;proj_dim=512;readout_clip=0.7;readout_scale=0;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,1.0,256,cosine,1,cat,1,0.001,4,512,0.7,0,128,0.1,5e-05,37.0,142.92,0.20813,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t7|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,7,42,mcc,curvature=4.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=4;proj_dim=256;readout_clip=0.3;readout_scale=1;scorer_hidden=256;tau_quantile=0.025;weight_decay=1e-05,4.0,64,cosine,1,cat,0,0.0002,4,256,0.3,1,256,0.025,1e-05,0.0,143.09,0.13468,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t8|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,8,42,mcc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=2e-05;num_layers=4;proj_dim=512;readout_clip=0.0;readout_scale=0;scorer_hidden=256;tau_quantile=0.38;weight_decay=0.0,4.0,128,cosine,1,cat,0,2e-05,4,512,0.0,0,256,0.38,0.0,0.0,143.3,0.48129,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t9|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,9,42,mcc,curvature=4.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=2;proj_dim=512;readout_clip=0.7;readout_scale=1;scorer_hidden=256;tau_quantile=0.05;weight_decay=0.0,4.0,64,cosine,1,cat,0,0.0002,2,512,0.7,1,256,0.05,0.0,28.28,139.38,0.15855,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t10|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,10,42,mcc,curvature=1.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.001;num_layers=2;proj_dim=512;readout_clip=0.0;readout_scale=1;scorer_hidden=256;tau_quantile=0.2;weight_decay=5e-05,1.0,128,cosine,1,max,0,0.001,2,512,0.0,1,256,0.2,5e-05,44.28,140.83,0.30168,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t11|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,11,42,mcc,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=2e-05;num_layers=2;proj_dim=512;readout_clip=0.7;readout_scale=1;scorer_hidden=256;tau_quantile=0.2;weight_decay=1e-05,1.0,256,cosine,1,max,0,2e-05,2,512,0.7,1,256,0.2,1e-05,0.0,138.53,0.30294,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t12|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,12,42,mcc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.0002;num_layers=2;proj_dim=256;readout_clip=1.0;readout_scale=1;scorer_hidden=256;tau_quantile=0.2;weight_decay=1e-05,4.0,128,cosine,1,cat,1,0.0002,2,256,1.0,1,256,0.2,1e-05,42.55,139.77,0.30796,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t13|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,13,42,mcc,curvature=1.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=2e-05;num_layers=4;proj_dim=256;readout_clip=0.3;readout_scale=1;scorer_hidden=256;tau_quantile=0.2;weight_decay=5e-05,1.0,64,cosine,1,max,0,2e-05,4,256,0.3,1,256,0.2,5e-05,0.0,141.17,0.30211,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t14|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,14,42,mcc,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=2e-05;num_layers=4;proj_dim=512;readout_clip=1.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.025;weight_decay=5e-05,1.0,256,cosine,1,max,0,2e-05,4,512,1.0,1,128,0.025,5e-05,0.0,140.86,0.14194,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t15|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,15,42,mcc,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.001;num_layers=4;proj_dim=512;readout_clip=1.0;readout_scale=1;scorer_hidden=256;tau_quantile=0.025;weight_decay=1e-05,1.0,256,cosine,1,cat,1,0.001,4,512,1.0,1,256,0.025,1e-05,43.62,145.32,0.13582,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t16|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,16,42,mcc,curvature=1.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=2e-05;num_layers=4;proj_dim=128;readout_clip=0.0;readout_scale=1;scorer_hidden=256;tau_quantile=0.025;weight_decay=5e-05,1.0,64,cosine,1,max,1,2e-05,4,128,0.0,1,256,0.025,5e-05,0.0,143.55,0.13287,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t17|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,17,42,mcc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.001;num_layers=4;proj_dim=256;readout_clip=0.3;readout_scale=1;scorer_hidden=128;tau_quantile=0.2;weight_decay=1e-05,4.0,128,cosine,1,max,1,0.001,4,256,0.3,1,128,0.2,1e-05,43.65,142.76,0.30504,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t18|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,18,42,mcc,curvature=0.25;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=2e-05;num_layers=2;proj_dim=128;readout_clip=0.0;readout_scale=1;scorer_hidden=256;tau_quantile=0.1;weight_decay=1e-05,0.25,128,cosine,1,max,1,2e-05,2,128,0.0,1,256,0.1,1e-05,0.0,137.15,0.20703,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t19|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,19,42,mcc,curvature=4.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.0002;num_layers=2;proj_dim=256;readout_clip=0.3;readout_scale=0;scorer_hidden=256;tau_quantile=0.2;weight_decay=5e-05,4.0,256,cosine,1,cat,1,0.0002,2,256,0.3,0,256,0.2,5e-05,32.29,141.09,0.30562,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t20|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,20,42,mcc,curvature=1.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=0.001;num_layers=2;proj_dim=256;readout_clip=0.3;readout_scale=1;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,1.0,128,cosine,1,max,1,0.001,2,256,0.3,1,128,0.38,5e-05,42.09,137.34,0.48175,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t21|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,21,42,mcc,curvature=1.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=2e-05;num_layers=4;proj_dim=512;readout_clip=0.7;readout_scale=1;scorer_hidden=256;tau_quantile=0.2;weight_decay=1e-05,1.0,128,cosine,1,cat,1,2e-05,4,512,0.7,1,256,0.2,1e-05,0.0,145.65,0.30146,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t22|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,22,42,mcc,curvature=4.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.001;num_layers=4;proj_dim=128;readout_clip=0.3;readout_scale=1;scorer_hidden=256;tau_quantile=0.2;weight_decay=1e-05,4.0,256,cosine,1,cat,1,0.001,4,128,0.3,1,256,0.2,1e-05,42.63,143.34,0.30438,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t23|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,23,42,mcc,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=2e-05;num_layers=4;proj_dim=128;readout_clip=0.7;readout_scale=1;scorer_hidden=128;tau_quantile=0.38;weight_decay=5e-05,1.0,256,cosine,1,max,0,2e-05,4,128,0.7,1,128,0.38,5e-05,0.0,144.25,0.48953,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t24|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,24,42,mcc,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=4;proj_dim=256;readout_clip=0.7;readout_scale=1;scorer_hidden=256;tau_quantile=0.025;weight_decay=0.0,1.0,256,cosine,1,cat,0,0.0002,4,256,0.7,1,256,0.025,0.0,40.85,140.02,0.13582,0.0,,,,
glue|bert-base-uncased|cola_wide|B|t25|s42|tune,glue,bert-base-uncased,cola_wide,cola,B,tune,25,42,mcc,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=2e-05;num_layers=4;proj_dim=512;readout_clip=1.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.05;weight_decay=0.0,1.0,256,cosine,1,cat,1,2e-05,4,512,1.0,0,128,0.05,0.0,0.0,143.19,0.15963,0.0,,,,
