run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,feature_mode,gat_hidden_dim,graph_curvature,graph_metric,jk_mode,lr,num_layers,proj_dim,rho_quantile,scorer_hidden,weight_decay,score,elapsed_sec,mean_density,empty_frac,curvature,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|bert-base-uncased|cola_wide|A|t0|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,0,42,mcc,feature_mode=center_unit;gat_hidden_dim=128;graph_curvature=0.25;graph_metric=poincare;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=128;rho_quantile=0.05;scorer_hidden=128;weight_decay=5e-05,center_unit,128,0.25,poincare,max,0.0002,2,128,0.05,128,5e-05,45.74,159.14,0.1555,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t1|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,1,42,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=1.0;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=512;rho_quantile=0.1;scorer_hidden=128;weight_decay=1e-05,center_unit,64,1.0,poincare,cat,2e-05,4,512,0.1,128,1e-05,16.81,163.24,0.2073,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t2|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,2,42,mcc,feature_mode=cls_root_unit;gat_hidden_dim=128;graph_curvature=1.0;graph_metric=poincare;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.1;scorer_hidden=128;weight_decay=5e-05,cls_root_unit,128,1.0,poincare,max,0.0002,2,512,0.1,128,5e-05,47.18,158.32,0.20621,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t3|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,3,42,mcc,feature_mode=center;gat_hidden_dim=128;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=256;weight_decay=1e-05,center,128,9.0,poincare,cat,2e-05,2,512,0.2,256,1e-05,25.37,156.98,0.30626,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t4|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,4,42,mcc,feature_mode=cls_root_unit;gat_hidden_dim=128;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;rho_quantile=0.025;scorer_hidden=256;weight_decay=0.0,cls_root_unit,128,0.25,poincare,cat,2e-05,2,512,0.025,256,0.0,28.15,161.92,0.13909,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t5|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,5,42,mcc,feature_mode=unit;gat_hidden_dim=128;graph_curvature=0.25;graph_metric=poincare;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=256;rho_quantile=0.025;scorer_hidden=128;weight_decay=1e-05,unit,128,0.25,poincare,max,0.0002,4,256,0.025,128,1e-05,46.88,163.67,0.13641,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t6|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,6,42,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=512;rho_quantile=0.2;scorer_hidden=128;weight_decay=0.0,center_unit,64,9.0,poincare,cat,0.0002,2,512,0.2,128,0.0,45.02,160.4,0.30347,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t7|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,7,42,mcc,feature_mode=center_unit;gat_hidden_dim=128;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=512;rho_quantile=0.05;scorer_hidden=128;weight_decay=5e-05,center_unit,128,0.25,poincare,cat,0.0002,4,512,0.05,128,5e-05,45.83,163.51,0.15546,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t8|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,8,42,mcc,feature_mode=center;gat_hidden_dim=128;graph_curvature=2.25;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=128;rho_quantile=0.025;scorer_hidden=128;weight_decay=1e-05,center,128,2.25,poincare,cat,2e-05,2,128,0.025,128,1e-05,26.36,156.66,0.13901,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t9|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,9,42,mcc,feature_mode=unit;gat_hidden_dim=256;graph_curvature=1.0;graph_metric=poincare;jk_mode=max;lr=0.001;num_layers=4;proj_dim=256;rho_quantile=0.2;scorer_hidden=128;weight_decay=1e-05,unit,256,1.0,poincare,max,0.001,4,256,0.2,128,1e-05,47.29,163.39,0.30827,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t10|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,10,42,mcc,feature_mode=center_unit;gat_hidden_dim=128;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=256;rho_quantile=0.38;scorer_hidden=256;weight_decay=1e-05,center_unit,128,0.25,poincare,cat,0.0002,2,256,0.38,256,1e-05,42.59,161.83,0.48762,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t11|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,11,42,mcc,feature_mode=center_unit;gat_hidden_dim=128;graph_curvature=0.25;graph_metric=poincare;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=128;rho_quantile=0.2;scorer_hidden=256;weight_decay=0.0,center_unit,128,0.25,poincare,cat,0.001,4,128,0.2,256,0.0,46.43,166.92,0.30076,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t12|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,12,42,mcc,feature_mode=unit;gat_hidden_dim=256;graph_curvature=9.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=256;rho_quantile=0.05;scorer_hidden=128;weight_decay=0.0,unit,256,9.0,poincare,cat,0.0002,2,256,0.05,128,0.0,47.01,159.49,0.15847,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t13|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,13,42,mcc,feature_mode=center_unit;gat_hidden_dim=64;graph_curvature=4.0;graph_metric=poincare;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=128;rho_quantile=0.025;scorer_hidden=128;weight_decay=1e-05,center_unit,64,4.0,poincare,cat,0.0002,4,128,0.025,128,1e-05,46.94,163.63,0.134,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t14|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,14,42,mcc,feature_mode=unit;gat_hidden_dim=256;graph_curvature=4.0;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;rho_quantile=0.1;scorer_hidden=256;weight_decay=1e-05,unit,256,4.0,poincare,cat,2e-05,2,512,0.1,256,1e-05,26.43,159.12,0.20949,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t15|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,15,42,mcc,feature_mode=unit;gat_hidden_dim=256;graph_curvature=0.25;graph_metric=poincare;jk_mode=max;lr=0.001;num_layers=4;proj_dim=512;rho_quantile=0.1;scorer_hidden=128;weight_decay=5e-05,unit,256,0.25,poincare,max,0.001,4,512,0.1,128,5e-05,47.62,161.64,0.21335,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t16|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,16,42,mcc,feature_mode=unit;gat_hidden_dim=64;graph_curvature=1.0;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;rho_quantile=0.38;scorer_hidden=256;weight_decay=0.0,unit,64,1.0,poincare,cat,2e-05,2,256,0.38,256,0.0,4.64,159.41,0.48296,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t17|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,17,42,mcc,feature_mode=unit;gat_hidden_dim=128;graph_curvature=1.0;graph_metric=poincare;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;rho_quantile=0.2;scorer_hidden=128;weight_decay=0.0,unit,128,1.0,poincare,cat,2e-05,2,256,0.2,128,0.0,26.08,157.23,0.30768,0.0,,,,,
glue|bert-base-uncased|cola_wide|A|t18|s42|tune,glue,bert-base-uncased,cola_wide,cola,A,tune,18,42,mcc,feature_mode=center;gat_hidden_dim=256;graph_curvature=9.0;graph_metric=poincare;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=128;rho_quantile=0.025;scorer_hidden=128;weight_decay=0.0,center,256,9.0,poincare,max,2e-05,4,128,0.025,128,0.0,25.56,160.14,0.14081,0.0,,,,,
