run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau,weight_decay,score,elapsed_sec,mean_density,empty_frac
glue|roberta-base|cola_wide|paper_tau|t0|s42|tune,glue,roberta-base,cola_wide,cola,paper_tau,tune,0,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=256;scorer_hidden=256;tau=0.6;weight_decay=1e-05,256,cosine,cat,0.0002,4,256,256,0.6,1e-05,50.83,134.82,0.99052,0.0
glue|roberta-base|cola_wide|paper_tau|t1|s42|tune,glue,roberta-base,cola_wide,cola,paper_tau,tune,1,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=128;tau=0.6;weight_decay=5e-05,64,cosine,cat,0.001,2,512,128,0.6,5e-05,56.41,128.38,0.99033,0.0
glue|roberta-base|cola_wide|paper_tau|t2|s42|tune,glue,roberta-base,cola_wide,cola,paper_tau,tune,2,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=128;tau=0.6;weight_decay=5e-05,128,cosine,cat,0.001,2,512,128,0.6,5e-05,54.32,126.41,0.99106,0.0
glue|roberta-base|cola_wide|paper_tau|t3|s42|tune,glue,roberta-base,cola_wide,cola,paper_tau,tune,3,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=128;tau=0.6;weight_decay=5e-05,128,cosine,max,0.0002,2,128,128,0.6,5e-05,52.18,126.7,0.98857,0.0
glue|roberta-base|cola_wide|paper_tau|t4|s42|tune,glue,roberta-base,cola_wide,cola,paper_tau,tune,4,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=2;proj_dim=256;scorer_hidden=128;tau=0.6;weight_decay=1e-05,64,cosine,cat,0.0002,2,256,128,0.6,1e-05,52.64,127.78,0.99033,0.0
glue|roberta-base|cola_wide|paper_tau|t5|s42|tune,glue,roberta-base,cola_wide,cola,paper_tau,tune,5,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=256;scorer_hidden=256;tau=0.6;weight_decay=1e-05,128,cosine,max,0.0002,2,256,256,0.6,1e-05,52.45,128.27,0.98857,0.0
glue|roberta-base|cola_wide|paper_tau|t6|s42|tune,glue,roberta-base,cola_wide,cola,paper_tau,tune,6,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=128;tau=0.6;weight_decay=5e-05,64,cosine,cat,0.001,4,512,128,0.6,5e-05,54.16,133.42,0.99111,0.0
glue|roberta-base|cola_wide|paper_tau|t7|s42|tune,glue,roberta-base,cola_wide,cola,paper_tau,tune,7,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=128;scorer_hidden=128;tau=0.6;weight_decay=5e-05,64,cosine,max,0.0002,4,128,128,0.6,5e-05,53.24,131.66,0.98982,0.0
glue|roberta-base|cola_wide|paper_tau|t8|s42|tune,glue,roberta-base,cola_wide,cola,paper_tau,tune,8,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=256;tau=0.6;weight_decay=1e-05,256,cosine,cat,2e-05,2,512,256,0.6,1e-05,11.38,132.45,0.98932,0.0
glue|roberta-base|cola_wide|paper_tau|t9|s42|tune,glue,roberta-base,cola_wide,cola,paper_tau,tune,9,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=512;scorer_hidden=128;tau=0.6;weight_decay=0.0,128,cosine,max,0.0002,2,512,128,0.6,0.0,52.6,131.45,0.98857,0.0
