run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,curvature,gat_hidden_dim,graph_metric,hyperbolic_readout,jk_mode,learnable_curvature,lr,num_layers,proj_dim,readout_clip,readout_scale,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|bert-base-uncased|rte_wide|B|t0|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,0,42,acc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=2e-05;num_layers=2;proj_dim=128;readout_clip=0.7;readout_scale=1;scorer_hidden=128;tau_quantile=0.025;weight_decay=1e-05,4.0,128,cosine,1,max,1,2e-05,2,128,0.7,1,128,0.025,1e-05,47.29,152.56,0.02566,0.00391,,,,
glue|bert-base-uncased|rte_wide|B|t1|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,1,42,acc,curvature=4.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.001;num_layers=2;proj_dim=512;readout_clip=0.3;readout_scale=1;scorer_hidden=128;tau_quantile=0.1;weight_decay=0.0,4.0,256,cosine,1,cat,0,0.001,2,512,0.3,1,128,0.1,0.0,55.6,143.42,0.1001,0.0,,,,
glue|bert-base-uncased|rte_wide|B|t2|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,2,42,acc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=4;proj_dim=512;readout_clip=0.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.025;weight_decay=1e-05,4.0,128,cosine,1,cat,0,0.0002,4,512,0.0,1,128,0.025,1e-05,55.96,155.96,0.02557,0.00391,,,,
glue|bert-base-uncased|rte_wide|B|t3|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,3,42,acc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=2;proj_dim=128;readout_clip=0.3;readout_scale=1;scorer_hidden=128;tau_quantile=0.025;weight_decay=5e-05,4.0,128,cosine,1,cat,0,0.0002,2,128,0.3,1,128,0.025,5e-05,55.96,190.46,0.02494,0.00781,,,,
glue|bert-base-uncased|rte_wide|B|t4|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,4,42,acc,curvature=1.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.001;num_layers=4;proj_dim=256;readout_clip=1.0;readout_scale=1;scorer_hidden=256;tau_quantile=0.05;weight_decay=1e-05,1.0,128,cosine,1,max,0,0.001,4,256,1.0,1,256,0.05,1e-05,56.68,180.35,0.05023,0.00391,,,,
glue|bert-base-uncased|rte_wide|B|t5|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,5,42,acc,curvature=0.25;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=2e-05;num_layers=2;proj_dim=128;readout_clip=0.0;readout_scale=0;scorer_hidden=256;tau_quantile=0.1;weight_decay=1e-05,0.25,256,cosine,1,cat,1,2e-05,2,128,0.0,0,256,0.1,1e-05,53.07,152.47,0.1001,0.0,,,,
glue|bert-base-uncased|rte_wide|B|t6|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,6,42,acc,curvature=0.25;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.001;num_layers=2;proj_dim=128;readout_clip=1.0;readout_scale=1;scorer_hidden=256;tau_quantile=0.025;weight_decay=1e-05,0.25,64,cosine,1,cat,1,0.001,2,128,1.0,1,256,0.025,1e-05,58.12,143.1,0.0251,0.00781,,,,
glue|bert-base-uncased|rte_wide|B|t7|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,7,42,acc,curvature=1.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=2e-05;num_layers=4;proj_dim=256;readout_clip=0.0;readout_scale=0;scorer_hidden=256;tau_quantile=0.38;weight_decay=1e-05,1.0,128,cosine,1,cat,0,2e-05,4,256,0.0,0,256,0.38,1e-05,49.1,171.13,0.37853,0.0,,,,
glue|bert-base-uncased|rte_wide|B|t8|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,8,42,acc,curvature=0.25;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.001;num_layers=4;proj_dim=256;readout_clip=0.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.1;weight_decay=1e-05,0.25,64,cosine,1,cat,0,0.001,4,256,0.0,0,128,0.1,1e-05,54.15,153.99,0.10005,0.0,,,,
glue|bert-base-uncased|rte_wide|B|t9|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,9,42,acc,curvature=4.0;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.0002;num_layers=2;proj_dim=512;readout_clip=0.3;readout_scale=1;scorer_hidden=256;tau_quantile=0.05;weight_decay=0.0,4.0,128,cosine,1,cat,1,0.0002,2,512,0.3,1,256,0.05,0.0,55.96,186.32,0.04999,0.00391,,,,
glue|bert-base-uncased|rte_wide|B|t10|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,10,42,acc,curvature=4.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.0002;num_layers=4;proj_dim=256;readout_clip=1.0;readout_scale=0;scorer_hidden=256;tau_quantile=0.1;weight_decay=1e-05,4.0,256,cosine,1,cat,0,0.0002,4,256,1.0,0,256,0.1,1e-05,52.71,185.13,0.0996,0.0,,,,
glue|bert-base-uncased|rte_wide|B|t11|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,11,42,acc,curvature=4.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.001;num_layers=4;proj_dim=512;readout_clip=1.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.05;weight_decay=1e-05,4.0,256,cosine,1,max,0,0.001,4,512,1.0,1,128,0.05,1e-05,49.1,152.6,0.05036,0.0,,,,
glue|bert-base-uncased|rte_wide|B|t12|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,12,42,acc,curvature=0.25;gat_hidden_dim=128;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=0;lr=0.001;num_layers=4;proj_dim=256;readout_clip=0.3;readout_scale=0;scorer_hidden=256;tau_quantile=0.2;weight_decay=0.0,0.25,128,cosine,1,cat,0,0.001,4,256,0.3,0,256,0.2,0.0,52.35,195.95,0.19874,0.0,,,,
glue|bert-base-uncased|rte_wide|B|t13|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,13,42,acc,curvature=1.0;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=cat;learnable_curvature=1;lr=0.0002;num_layers=4;proj_dim=512;readout_clip=0.0;readout_scale=0;scorer_hidden=128;tau_quantile=0.025;weight_decay=1e-05,1.0,64,cosine,1,cat,1,0.0002,4,512,0.0,0,128,0.025,1e-05,55.96,127.84,0.02539,0.0,,,,
glue|bert-base-uncased|rte_wide|B|t14|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,14,42,acc,curvature=1.0;gat_hidden_dim=256;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=0;lr=0.001;num_layers=2;proj_dim=256;readout_clip=1.0;readout_scale=1;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,1.0,256,cosine,1,max,0,0.001,2,256,1.0,1,128,0.1,5e-05,54.87,241.94,0.10026,0.0,,,,
glue|bert-base-uncased|rte_wide|B|t15|s42|tune,glue,bert-base-uncased,rte_wide,rte,B,tune,15,42,acc,curvature=0.25;gat_hidden_dim=64;graph_metric=cosine;hyperbolic_readout=1;jk_mode=max;learnable_curvature=1;lr=2e-05;num_layers=4;proj_dim=512;readout_clip=0.7;readout_scale=0;scorer_hidden=256;tau_quantile=0.38;weight_decay=1e-05,0.25,64,cosine,1,max,1,2e-05,4,512,0.7,0,256,0.38,1e-05,47.29,177.6,0.37826,0.0,,,,
