timestamp,run_tag,model,task,arm,pooling,graph_metric,graph_adj,hyperbolic_gnn,hyperbolic_readout,distractor_ratio,relational_distance,signal_position,tau,rho,curvature,knn_k,num_layers,epochs,batch_size,lr,seed,acc
2026-08-17 18:17:13,stress_fixed,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.958
2026-08-17 18:18:08,stress_fixed,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.926
2026-08-17 18:19:16,stress_fixed,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.898
2026-08-17 18:20:31,stress_fixed,bert-base-uncased,stress,baseline,glot,cosine,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.884
2026-08-17 18:21:33,stress_fixed,bert-base-uncased,stress,A_thresh,glot,poincare,threshold,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.978
2026-08-17 18:22:36,stress_fixed,bert-base-uncased,stress,A_thresh,glot,poincare,threshold,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.972
2026-08-17 18:23:46,stress_fixed,bert-base-uncased,stress,A_thresh,glot,poincare,threshold,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.956
2026-08-17 18:25:00,stress_fixed,bert-base-uncased,stress,A_thresh,glot,poincare,threshold,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.948
2026-08-17 18:26:05,stress_fixed,bert-base-uncased,stress,A_knn,glot,poincare,knn,0,0,0.2,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.952
2026-08-17 18:27:10,stress_fixed,bert-base-uncased,stress,A_knn,glot,poincare,knn,0,0,0.5,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.938
2026-08-17 18:28:22,stress_fixed,bert-base-uncased,stress,A_knn,glot,poincare,knn,0,0,0.8,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.922
2026-08-17 18:29:39,stress_fixed,bert-base-uncased,stress,A_knn,glot,poincare,knn,0,0,0.9,10,random,0.6,1.0,1.0,8,4,3,32,0.0001,0,0.884
