run_key,backbone,model,hidden_layer,task,density,scale,seed,metric,score,mean_density,elapsed_sec
mbert_L12|cola|abs06|rms|s3,mbert_L12,answerdotai/ModernBERT-base,12,cola,abs06,rms,3,mcc,4.64,0.83096,226.81
mbert_L12|cola|abs06|rms|s4,mbert_L12,answerdotai/ModernBERT-base,12,cola,abs06,rms,4,mcc,0.0,0.83164,286.94
mbert_L12|cola|abs06|rms|s5,mbert_L12,answerdotai/ModernBERT-base,12,cola,abs06,rms,5,mcc,18.62,0.82842,171.65
mbert_L12|cola|q05|none|s1,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,none,1,mcc,31.9,0.05016,158.79
mbert_L12|cola|q05|none|s2,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,none,2,mcc,19.93,0.05044,156.82
mbert_L12|cola|q05|none|s3,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,none,3,mcc,14.99,0.04978,162.56
mbert_L12|cola|q05|none|s4,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,none,4,mcc,20.62,0.05031,154.66
mbert_L12|cola|q05|none|s5,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,none,5,mcc,28.66,0.05065,177.64
mbert_L12|cola|q05|median|s1,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,median,1,mcc,29.78,0.05084,157.62
mbert_L12|cola|q05|median|s2,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,median,2,mcc,25.2,0.05092,170.64
mbert_L12|cola|q05|median|s3,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,median,3,mcc,29.84,0.05009,167.08
mbert_L12|cola|q05|median|s4,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,median,4,mcc,26.26,0.05089,161.7
mbert_L12|cola|q05|median|s5,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,median,5,mcc,31.61,0.05108,162.1
mbert_L12|cola|q05|rms|s1,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,rms,1,mcc,19.14,0.05016,179.36
mbert_L12|cola|q05|rms|s2,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,rms,2,mcc,14.7,0.05033,149.77
mbert_L12|cola|q05|rms|s3,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,rms,3,mcc,17.82,0.05003,151.05
mbert_L12|cola|q05|rms|s4,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,rms,4,mcc,20.51,0.05044,151.68
mbert_L12|cola|q05|rms|s5,mbert_L12,answerdotai/ModernBERT-base,12,cola,q05,rms,5,mcc,23.72,0.05094,149.96
mbert_final|cola|abs06|none|s1,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,none,1,mcc,35.64,0.59754,171.37
mbert_final|cola|abs06|none|s2,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,none,2,mcc,37.22,0.58319,141.39
mbert_final|cola|abs06|none|s3,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,none,3,mcc,38.64,0.59298,138.3
mbert_final|cola|abs06|none|s4,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,none,4,mcc,37.64,0.59433,138.58
mbert_final|cola|abs06|none|s5,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,none,5,mcc,38.52,0.59561,132.0
mbert_final|cola|abs06|median|s1,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,median,1,mcc,37.0,0.59754,130.98
mbert_final|cola|abs06|median|s2,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,median,2,mcc,40.73,0.58319,132.44
mbert_final|cola|abs06|median|s3,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,median,3,mcc,38.73,0.59298,131.28
mbert_final|cola|abs06|median|s4,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,median,4,mcc,38.96,0.59433,130.91
mbert_final|cola|abs06|median|s5,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,median,5,mcc,38.93,0.59561,130.58
mbert_final|cola|abs06|rms|s1,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,rms,1,mcc,36.25,0.59754,130.84
mbert_final|cola|abs06|rms|s2,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,rms,2,mcc,40.87,0.58319,128.19
mbert_final|cola|abs06|rms|s3,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,rms,3,mcc,38.67,0.59298,128.63
mbert_final|cola|abs06|rms|s4,mbert_final,answerdotai/ModernBERT-base,-1,cola,abs06,rms,4,mcc,38.33,0.59433,127.75
