run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac
glue|roberta-base|cola_wide|density_fix|t0|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,0,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=512;scorer_hidden=256;tau_quantile=0.15;weight_decay=5e-05,128,cosine,cat,2e-05,2,512,256,0.15,5e-05,0.0,134.22,0.1492,0.0
glue|roberta-base|cola_wide|density_fix|t1|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,1,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.05;weight_decay=1e-05,128,cosine,cat,0.0002,4,512,128,0.05,1e-05,54.51,136.86,0.05173,0.00391
glue|roberta-base|cola_wide|density_fix|t2|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,2,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.1;weight_decay=1e-05,256,cosine,cat,2e-05,4,256,128,0.1,1e-05,39.76,139.26,0.10091,0.0
glue|roberta-base|cola_wide|density_fix|t3|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,3,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.05;weight_decay=5e-05,128,cosine,cat,0.001,4,256,128,0.05,5e-05,54.48,138.14,0.05173,0.00391
glue|roberta-base|cola_wide|density_fix|t4|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,4,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.1;weight_decay=1e-05,128,cosine,cat,0.001,4,512,256,0.1,1e-05,55.33,138.57,0.10113,0.0
glue|roberta-base|cola_wide|density_fix|t5|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,5,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.05;weight_decay=0.0,64,cosine,cat,0.001,4,256,256,0.05,0.0,54.43,138.4,0.0514,0.00391
glue|roberta-base|cola_wide|density_fix|t6|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,6,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.15;weight_decay=0.0,256,cosine,cat,0.001,2,128,128,0.15,0.0,53.8,131.47,0.14906,0.0
glue|roberta-base|cola_wide|density_fix|t7|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,7,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=256;tau_quantile=0.05;weight_decay=0.0,256,cosine,cat,0.001,2,128,256,0.05,0.0,54.37,132.31,0.05117,0.0
glue|roberta-base|cola_wide|density_fix|t8|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,8,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.1;weight_decay=5e-05,256,cosine,max,2e-05,4,512,128,0.1,5e-05,21.0,139.28,0.10108,0.0
glue|roberta-base|cola_wide|density_fix|t9|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,9,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=256;tau_quantile=0.1;weight_decay=0.0,64,cosine,cat,2e-05,2,256,256,0.1,0.0,0.0,136.16,0.1005,0.0
glue|roberta-base|cola_wide|density_fix|t10|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,10,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=256;tau_quantile=0.1;weight_decay=5e-05,128,cosine,cat,0.001,2,128,256,0.1,5e-05,54.63,133.76,0.09995,0.0
glue|roberta-base|cola_wide|density_fix|t11|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,11,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=128;scorer_hidden=128;tau_quantile=0.15;weight_decay=1e-05,64,cosine,max,2e-05,4,128,128,0.15,1e-05,20.4,139.28,0.14935,0.0
glue|roberta-base|cola_wide|density_fix|t12|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,12,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=256;tau_quantile=0.15;weight_decay=1e-05,128,cosine,max,2e-05,4,256,256,0.15,1e-05,0.0,138.68,0.1495,0.0
glue|roberta-base|cola_wide|density_fix|t13|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,13,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=4;proj_dim=128;scorer_hidden=256;tau_quantile=0.05;weight_decay=1e-05,64,cosine,max,0.0002,4,128,256,0.05,1e-05,53.62,138.04,0.05179,0.00391
glue|roberta-base|cola_wide|density_fix|t14|s42|tune,glue,roberta-base,cola_wide,cola,density_fix,tune,14,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=max;lr=0.0002;num_layers=2;proj_dim=128;scorer_hidden=256;tau_quantile=0.05;weight_decay=5e-05,256,cosine,max,0.0002,2,128,256,0.05,5e-05,50.46,134.98,0.05068,0.00391
