timestamp,run_tag,model,task,mteb_task,arm,pooling,graph_metric,graph_adj,hyperbolic_gnn,hyperbolic_readout,gnn_type,num_layers,jk_mode,tau,rho,curvature,knn_k,feature_norm,gat_hidden_dim,scorer_hidden,proj_dim,epochs,batch_size,lr,weight_decay,max_length,seed,elapsed_sec,acc,acc_final,mcc,mcc_final,f1,f1_final,acc_mm,f1_mm,spearman,spearman_final,pearson,pearson_final,best_val_avg,mteb_score,best_loss,mteb_per_task
2026-07-04 08:45:43,hyperglot,bert-base-uncased,cola,,AB_threshold,glot,poincare,threshold,0,1,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,233.23,0.778523,0.778523,0.438341,0.438341,,,,,,,,,,,,
2026-07-04 08:49:27,hyperglot,bert-base-uncased,cola,,AB_knn,glot,poincare,knn,0,1,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,206.0,0.790029,0.790029,0.473753,0.473753,,,,,,,,,,,,
2026-07-04 08:52:53,hyperglot,bert-base-uncased,mrpc,,AB_threshold,glot,poincare,threshold,0,1,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,194.04,0.708333,0.708333,,,0.822123,0.822123,,,,,,,,,,
2026-07-04 08:56:03,hyperglot,bert-base-uncased,mrpc,,AB_knn,glot,poincare,knn,0,1,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,171.84,0.713235,0.713235,,,0.822653,0.822458,,,,,,,,,,
2026-07-04 09:02:21,hyperglot,bert-base-uncased,stsb,,AB_threshold,glot,poincare,threshold,0,1,gat,2,cat,0.8,1.0,1.0,8,0,256,128,256,3,32,0.0002,0.0,128,42,365.8,,,,,,,,,0.814187,0.814187,0.814957,0.814957,0.814572,,,
